x,y,cohort,time,salience
0.03447092090260947,-0.03306691604569508,1,48,
0.034911602199972254,-0.03269698272801394,1,49,
0.031084576539824292,-0.03275360890229891,1,50,
0.03131724636221697,-0.03277535289364464,1,51,
0.02909572438973562,-0.032898151379618365,1,52,
0.029830086847482392,-0.03416887742809744,1,53,
0.03264889775791684,-0.03200334975607667,1,54,
0.04667292605388364,-0.024242509000244068,1,55,
0.04913095253628848,-0.020572984679322705,1,56,
0.05172950087181644,-0.019588662919077262,1,57,
0.05206914438657602,-0.01704161089789044,1,58,
0.05112100182542423,-0.015391524021373643,1,59,
0.04921029142126706,-0.014828714357787596,1,60,
0.04730672165676076,-0.015917435863658503,1,61,
0.046374385316549166,-0.01822254964720593,1,62,
0.04205825597041239,-0.021015700283842156,1,63,
0.038287783958737505,-0.02086619738776191,1,64,
0.029508264421181554,-0.025583462610611174,1,65,
0.020907150271141827,-0.03189591100304691,1,66,
0.0205970664675764,-0.03382237578725589,1,67,
0.011600806017126134,-0.03507709761422573,1,68,
0.01335320501973257,-0.03356544024256466,1,69,
0.011562274603775442,-0.03295294460190132,1,70,
0.008900857429372123,-0.03269307283873287,1,71,
0.00650747263586449,-0.033064649372295474,1,72,
0.003243437799999546,-0.0334016280838619,1,73,
0.0015445652624438496,-0.03570220734655077,1,74,
-0.005971369221278164,-0.03430726496734616,1,75,
-0.013796925375618484,-0.034746077257062025,1,76,
-0.013812440421301118,-0.03229695590424714,1,77,
-0.015858476344771787,-0.031970904449224465,1,78,
-0.014531936638488317,-0.03223383027727703,1,79,
-0.013252268757369207,-0.03321272516766046,1,80,
-0.013333703224699605,-0.035689895073495355,1,81,
-0.004130162474713862,-0.03933238113026748,1,82,
0.007308069668253459,-0.04046025718297009,1,83,
0.00782558530423269,-0.040847786670727346,1,84,
0.0016330536071118478,-0.03772109286870769,1,85,
-0.007229166208903347,-0.034103887102749475,1,86,
-0.00882509744075062,-0.03380759370329408,1,87,
-0.008987483282709628,-0.033618937551533445,1,88,
-0.012482018622526259,-0.03309795881327032,1,89,
-0.0240347415017246,-0.028968044796469403,1,90,
-0.028863407171138507,-0.0227541018738764,1,91,
-0.030101126924815914,-0.023660060942573877,1,92,
-0.026347515391793787,-0.02892376067101958,1,93,
-0.029541021322897487,-0.027834677666517264,1,94,
-0.0342791314610072,-0.027585574679775054,1,95,
-0.036191409463764986,-0.027287921296844056,1,96,
-0.0371362530733004,-0.029381159395485208,1,97,
-0.0339296435644095,-0.030656643399077085,1,98,
-0.03731184129541176,-0.030810289748511424,1,99,
-0.04316607019327632,-0.03056544796650689,1,100,
-0.05179616648989272,-0.030482293627578927,1,101,
-0.05509965051811873,-0.030219414965449356,1,102,
-0.05828705408306853,-0.02933968085865129,1,103,
-0.05994415046239007,-0.028219375172954152,1,104,
-0.06396279379268638,-0.029508777204732897,1,105,
-0.06537990451176809,-0.028344873907864564,1,106,
-0.06801551333655746,-0.027350464399712095,1,107,
-0.06809403920181041,-0.024717040915034263,1,108,
-0.06924498990709589,-0.020695316207917338,1,109,
-0.06869907738077918,-0.019847705622683832,1,110,
-0.06704795957690521,-0.01777264333884145,1,111,
-0.06480939047824329,-0.017611843150733837,1,112,
-0.06006454589578923,-0.01383596561496944,1,113,
-0.05838093514673452,-0.013357925167747416,1,114,
-0.05368613894093705,-0.010101275821903132,1,115,
-0.04877328481676463,-0.00999591574965667,1,116,
-0.05409224853310611,-0.00681614767941392,1,117,
-0.05204174431310591,-0.007576053127377044,1,118,
-0.05295198560036711,-0.005485476661192256,1,119,
-0.045246211362717836,-0.008223686333314158,1,120,
-0.057286674472075264,0.00047790636752222717,1,121,
-0.06010489461081337,0.002775122758177978,1,122,
-0.06531863416403777,0.005851866279810941,1,123,
-0.06824483643461164,0.00857889698520015,1,124,
-0.06848401421165591,0.009300108803240252,1,125,
-0.06756904787522927,0.01021483493182972,1,126,
-0.06298806995568992,0.010877417575238798,1,127,
-0.06388255370989485,0.011335815757780818,1,128,
-0.0720654488876183,0.01622458366672385,1,129,
-0.08371789464543805,0.026473725893868927,1,130,
-0.08203055915854675,0.025194405630033657,1,131,
-0.08701153162798789,0.02923482000329192,1,132,
-0.08511619418263486,0.028847374389281102,1,133,
-0.0842937710077567,0.029578440634589403,1,134,
